tweet_id,writer,post_date,body,comment_num,retweet_num,like_num
550494346978398209,Pharmdca,1420083054,@JoeP450 betting big on $cytr $gild $baba $aapl $$clvs $cldx $blue $ndrm $juno $sqnm $bbryspec stocks $amrn $cnat,1,0,1
550494473474433024,Maximum_Pain_cm,1420083084,$GOOG Max Pain is 530.00 for maturity 01/02/2015.  Price = 526.40. http://maximum-pain.com/max-pain.aspx?s=GOOG&e=01/02/2015…,0,0,0
550494538809081856,rhianna,1420083100,"FedEx, UPS Recalculate, Raise Rates  http://aol.it/1AdlB9u via @daily_finance $UPS $FDX $AMZN",0,0,0
550494675937665026,bullriders1,1420083133,Watch Out $AMZN Fresh!... Instacart's $2B home delivery service operates in fifteen U.S. cities with $WFM partnership,0,0,1
550495011113279488,AppleNewsAAPL,1420083213,$AAPL NewerTech releases new mounts for iMac models 2012 or later http://bit.ly/1EMHFgN @MaximumPenny,0,0,0
550498394062733312,caroltheva,1420084019,Using #Fibonacci for profitable exits http://bit.ly/FibRetrace $CMG $TSLA $BIDU,0,0,0
550498619107717120,Maximum_Pain_cm,1420084073,$GOOG OI for maturity 01/02/2015. 525.00 Highest put. 540.00 Highest call. http://maximum-pain.com/open-interest.aspx?s=GOOG&e=01/02/2015…,0,0,0
550499176422051840,WSJ,1420084206,Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN,17,113,57
550499285528096768,MrBanker12,1420084232,RT @WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN,0,0,0
550499294969888770,shermfrederick,1420084234,RT “@WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN”,0,1,0
550499435055042561,trisetyarso,1420084267,"If you have a bad day, think about it >RT @WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN",0,0,0
550499684381249536,chintu30,1420084327,“@WSJ: Jeff Bezos lost $7.4 billion in #Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN”,0,0,0
550499756192305152,makskarczmar,1420084344,“@WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN”lol,0,0,0
550499837851205632,FatherSiisi,1420084363,"Faddaludd  ""@WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN""",0,0,0
550499856322924544,BonnieLaden,1420084368,“@WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN”  can I just have 1 billion?,0,0,0
550499874555576321,YoungKingsEnt,1420084372,@DAE_DAY @YoungDiddy11 @Hisflyyness RT @WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN,1,0,0
550499879655456768,ScotPatterson,1420084373,“@WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN” Ouch,0,0,0
550500144794578946,BravesGasm,1420084436,"""@WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN"" I tried desperately to prevent this",1,0,2
550500329272639489,grifterR1,1420084480,One of the many reasons I hate Amazon. RT @WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN,0,0,0
550500854571098113,biznsPro,1420084606,“@WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN” I feel better now.,0,0,0
550501147250012160,SwingTradeAlert,1420084675,WSJ:Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN,0,0,0
550501268519923712,The_ShumbaKing,1420084704," RT ""@WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN""",0,0,0
550501828547190784,Scott_Klemke,1420084838,"""@WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN""",0,0,0
550501951067418624,oh_HOLMES,1420084867,Damn! Lol RT @WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN,0,0,0
550502180466491392,newscaster,1420084922,"That's with a ""B"". @WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1BmKuz3 $AMZN",0,0,0
550502942407929857,smoran26,1420085103,"Yes to the first person with a guess - winner - the *STOCK OF THE YEAR* is $AAPL - Other stocks had bigger years, but not one this size.",0,0,0
550503223485009920,smoran26,1420085170,"If you had a fantasy blue - chip portfolio, packed with only dividend payers of at least 1.5% yield and up - $AAPL is your rock star.",0,0,0
